Date,Sum of Bids (Amt) Tendered GHS(M),Sum of Bids (Amt) Accepted Ghs(M),Target
05/01/2018,196.64,196.64,415
12/01/2018,565.06,564.56,616
19/01/2018,795.25,794.75,790
26/01/2018,590.37,590.37,764
02/02/2018,238.93,238.93,887
09/02/2018,483.21,482.71,408
16/02/2018,539.84,539.84,619
23/02/2018,529.34,529.34,570
02/03/2018,657.39,657.39,641
09/03/2018,426.95,426.95,666
16/03/2018,469.54,463.08,557
23/03/2018,447.38,447.38,582
30/03/2018,421.07,421.07,339
06/04/2018,223.07,223.07,492
13/04/2018,535.13,533.24,471
20/04/2018,558.39,551.4,647
27/04/2018,663.59,663.59,937
04/05/2018,233.47,488.89,359
11/05/2018,446.22,446.22,835
11/05/2018,78.08,78.08,835
18/05/2018,576.86,576.86,944
24/05/2018,626.68,595.98,705
01/06/2018,644.12,644.12,567
08/06/2018,413.52,413.52,417
14/06/2018,974.72,974.72,641
22/06/2018,513.1,513.1,615
29/06/2018,305.96,305.96,466
06/07/2018,204.24,204.24,220
13/07/2018,477.6,477.6,513
20/07/2018,770.75,770.75,867
27/07/2018,576.66,563.81,441
03/08/2018,342.86,342.86,414
10/08/2018,443.1,443.1,428
17/08/2018,517.79,517.79,621
24/08/2018,466.26,466.26,463
31/08/2018,653.73,653.73,694
07/09/2018,568.09,568.09,571
14/09/2018,473.83,473.83,479
20/09/2018,447.67,447.67,699
28/09/2018,459.18,459.18,689
05/10/2018,204.26,204.26,434
12/10/2018,515.26,515.26,506
19/10/2018,477.03,477.03,537
26/10/2018,666.45,666.45,735
02/11/2018,334.56,334.56,276
09/11/2018,512.06,512.06,594
16/11/2018,646.53,646.53,512
23/11/2018,653.06,653.06,674
30/11/2018,884.43,764.43,651
06/12/2018,477.7,477.2,540
14/12/2018,560.79,560.79,1031
21/12/2018,1075.2,1075.2,705
28/12/2018,377.22,377.22,402
04/01/2019,342.87,342.87,483
11/01/2019,534.12,534.12,428
18/01/2019,773.32,773.32,823
25/01/2019,639.99,639.99,460
01/02/2019,697.19,697.19,662
08/02/2019,711.44,606.44,762
15/02/2019,568.58,568.58,698
22/02/2019,553.88,553.88,630
01/03/2019,1014.6,959.5,958
08/03/2019,489.33,480.08,862
15/03/2019,733.88,715.68,654
22/03/2019,572.34,572.34,684
29/03/2019,1222.77,1083.97,1342
05/04/2019,1039.93,970.95,579
12/04/2019,1167.67,931.5,565
18/04/2019,708.94,591.07,716
26/04/2019,1415.16,1024.17,940
03/05/2019,576.76,576.76,817
10/05/2019,728.7,715.23,778
17/05/2019,753.29,687.95,889
24/05/2019,767.23,767.19,708
31/05/2019,1426.46,998.11,746
07/06/2019,818.12,805.65,479
14/06/2019,1041.26,1037.76,887
21/06/2019,741.57,741.57,934
28/06/2019,914.97,890.9,875
05/07/2019,293.94,293.94,1040
19/07/2019,788.98,788.98,785
26/07/2019,746.93,746.93,820
02/08/2019,417.06,417.06,699
09/08/2019,1058.86,1034.53,627
16/08/2019,827.49,823.49,540
30/08/2019,467.19,467.19,641
06/09/2019,1024.3,1024.3,966
13/09/2019,716.43,716.43,723
20/09/2019,1502.49,1502.49,843
27/09/2019,569.15,569.15,965
04/10/2019,404.11,404.11,868
11/10/2019,600.76,600.76,678
18/10/2019,746.57,667.27,632
25/10/2019,816.07,816.07,762
01/11/2019,518.27,518.27,491
08/11/2019,914.04,914.04,700
15/11/2019,651.62,649.62,500
22/11/2019,867.56,867.56,918
29/11/2019,615.86,615.86,663
05/12/2019,1745.57,1741.96,958
20/12/2019,1061.59,1061.59,1352
27/12/2019,649.72,642.39,764
03/01/2020,499.91,499.91,593
10/01/2020,720.79,720.79,657
17/01/2020,868,868,822
24/01/2020,929.48,925.48,925
31/01/2020,960.12,960.12,1649
07/02/2020,861.12,861.12,711
14/02/2020,606.6,592.12,1037
21/02/2020,743.63,743.63,797
28/02/2020,609.4,609.4,800
05/03/2020,919.75,918.82,1037
13/03/2020,889.68,889.68,1000
20/03/2020,682.83,682.83,754
27/03/2020,906.5,743.38,715
03/04/2020,521.22,488.18,452
09/04/2020,1635.1,1635.1,1099
17/04/2020,757.27,509.54,677
24/04/2020,1146.57,1134.85,1208
30/04/2020,623.39,623.39,603
08/05/2020,849.82,833.88,991
15/05/2020,652.94,652.94,758
22/05/2020,1071.22,1071.22,909
29/05/2020,575.77,575.77,1123
05/06/2020,925.23,921.23,875
12/06/2020,1193.71,1193.71,1182
19/06/2020,976.62,926.72,749
26/06/2020,1032.48,1032.48,1238
03/07/2020,546.25,534.16,484
10/07/2020,933.18,933.18,1244
17/07/2020,731.68,731.68,803
24/07/2020,1063.42,1063.42,1261
30/07/2020,667.26,667.26,617
07/08/2020,918.87,918.87,1225
14/08/2020,802.67,802.67,1025
21/08/2020,807.31,807.31,1137
28/08/2020,806.94,806.94,577
04/09/2020,1026.57,1026.57,1041
11/09/2020,860.4,860.4,919
18/09/2020,975.25,973.81,1004
25/09/2020,826.02,826.02,735
02/10/2020,831.21,821.21,712
09/10/2020,919.34,919.34,876
16/10/2020,819.62,793.9,733
23/10/2020,1073.39,1073.39,1027
30/10/2020,838.06,838.06,709
06/11/2020,1155.92,1155.92,1043
13/11/2020,1133.22,1133.22,783
20/11/2020,773.71,773.71,985
27/11/2020,915.31,915.31,984
04/12/2020,1179.4,1179.4,1012
11/12/2020,1066.54,1066.54,925
18/12/2020,971.75,971.75,1799
24/12/2020,901.74,901.74,1011
31/12/2020,739.18,739.18,852
08/01/2021,1073.47,1073.47,987
15/01/2021,988.88,988.88,756
22/01/2021,1619.67,1251.19,1235
29/01/2021,1892.95,1221.11,1129
05/02/2021,1679.41,1076.77,856
12/02/2021,1327.2,1327.08,1213
19/02/2021,1298.58,767.49,773
26/02/2021,1528.22,1373.54,889
05/03/2021,1349.01,1331.15,1252
12/03/2021,1802.58,1484.25,1100
19/03/2021,1119.14,1119.14,890
26/03/2021,1682.2,1682.2,1342
01/04/2021,1095.92,1095.92,666
09/04/2021,1170.88,1170.67,1540
16/04/2021,886.47,886.47,950
23/04/2021,1789.29,1760.15,1135
30/04/2021,573.22,573.22,673
07/05/2021,913.25,913.25,1142
14/05/2021,1319.14,1226.26,1278
21/05/2021,628.57,628.57,791
28/05/2021,1852.67,1817.56,1177
04/06/2021,1241.76,1241.76,1281
11/06/2021,1345.4,1340.4,1171
18/06/2021,1224.32,1224.32,1175
25/06/2021,1525.17,1296.93,1216
02/07/2021,735.58,735.58,1178
09/07/2021,1550.29,1526.43,1305
16/07/2021,896.67,896.67,1281
23/07/2021,1856.29,1856.29,1019
30/07/2021,686.46,478.7,630
06/08/2021,1654.96,1286.99,1101
13/08/2021,1316.55,1316.55,1161
20/08/2021,642.63,642.63,596
27/08/2021,1208.7,1208.7,1643
03/09/2021,1607.76,1522.52,1328
10/09/2021,1258.89,1253.62,1380