Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
01/03/2019,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,5361646,,5361646,,5361646,5361646,170160481,,,,,,,,,,,,,,,,,,,,,,"223,013,488.00"
04/03/2019,52684,6469469,7966947,640848,1000000,0,2000000,16000000,3000000,,48012,1000000,0,,0,,0,,,,38177960,,,,,,,,,,,,,,,,,,,,,,
05/03/2019,1081789,8820245,27265924,0,525000,0,165000,13000000,4000000,,5000000,5000000,0,,0,,0,,,,64857958,,,,,,,,,,,,,,,,,,,,,,
07/03/2019,245989,23918686,1529368,193358,17000000,12129,10000000,1000000,5000000,,8000000,250000,0,,0,,0,,,,67149530,,,,,,,,,,,,,,,,,,,,,,
08/03/2019,28404409,11704567,15794339,10040000,1000000,25000000,2000000,20829,8000000,,10000000,0,0,,0,,0,,,,111964144,,,,,,,,,,,,,,,,,,,,,,
11/03/2019,3749305,24380502,10302330,323480,5000000,10000000,3000000,2000000,20000000,,97502,0,0,,0,,0,,,,78853119,,,,,,,,,,,,,,,,,,,,,,
12/03/2019,41356751,135712899,60540269,0,6000000,4000000,23000000,12000000,10000000,,204646,2000000,0,,0,,0,,,,294814565,,,,,,,,,,,,,,,,,,,,,,
13/03/2019,27121000,89428283,7175637,36926500,500000,12000000,5000000,37000000,22000000,,2000000,118000000,0,,0,,,,,,357151420,,,,,,,,,,,,,,,,,,,,,,
14/03/2019,29752245,39785582,11243651,52334498,25000000,10420400,0,36263220,16700000,,192867,5050000,0,,0,,0,,,,226742463,,,,,,,,,,,,,,,,,,,,,,
15/03/2019,54431260,33291289,28319930,8566504,0,3500000,3935028,24707000,27620658,,0,5000000,0,,0,,0,,,,189371669,,,,,,,,,,,,,,,,,,,,,,
18/03/2019,40947247,24001866,14625323,76000000,0,46557,10000000,415520,5000000,,124204,53260,0,,0,,0,,,,171213977,,,,,,,,,,,,,,,,,,,,,,
19/03/2019,11522881,15185214,10231757,6000000,2000000,4000000,13000000,8000000,10000000,,5000000,0,0,,0,,0,,,,84939852,,,,,,,,,,,,,,,,,,,,,,
20/03/2019,61405588,18509230,82691468,12000000,7000000,4000000,2000000,18222573,9000000,,4000000,178022,0,,0,,,,,,219006881,,,,,,,,,,,,,,,,,,,,,,
21/03/2019,41880326,22979431,74351092,14543000,6500000,9000000,10401037,30514676,16000000,,5443989,5000000,0,,0,,0,,,,236613551,,,,,,,,,,,,,,,,,,,,,,
22/03/2019,46249033,29081383,27019891,12000000,0,9000000,9000000,19632900,32000000,,0,6000000,0,,0,,0,,,,189983207,,,,,,,,,,,,,,,,,,,,,,
25/03/2019,23006034,34610000,42445178,19090300,11000000,3000000,7000000,16000000,37000000,,30987,6000000,0,,0,,0,,,,199182499,,,,,,,,,,,,,,,,,,,,,,
26/03/2019,48053936,30593020,39000000,25500000,14000000,24000000,4000000,11000000,33000000,,0,6000000,0,,0,,0,,,,235146956,,,,,,,,,,,,,,,,,,,,,,
27/03/2019,52631316,17445209,56086454,39000000,5000000,20000000,671200,19000000,29000000,,255915,82000,0,,0,,0,,,,239172094,,,,,,,,,,,,,,,,,,,,,,
28/03/2019,51040686,59262806,28191668,34926000,8000000,19000000,6000000,21000000,25000000,,5000000,0,0,,0,,0,,,,257421160,,,,,,,,,,,,,,,,,,,,,,
29/03/2019,11070000,26879321,22309993,13288000,6000000,19000000,8000000,37480000,45000000,,5000000,0,0,,0,,0,,,,194027314,,,,,,,,,,,,,,,,,,,,,,
01/04/2019,5129170,31250000,17438705,16010127,11000000,5000000,9000000,5240000,23000000,,5000000,0,0,,0,,0,,,,128068002,,,,,,,,,,,,,,,,,,,,,,
02/04/2019,20078015,12000000,19400000,27047826,2000000,10000000,8000000,19000000,11000000,,2000000,0,0,,0,,0,,,,130525841,,,,,,,,,,,,,,,,,,,,,,
03/04/2019,29164213,10177300,5296642,24005000,2000000,10000000,12000000,8000000,13000000,,276507,100000,0,,0,,0,,,,114019662,,,,,,,,,,,,,,,,,,,,,,
04/04/2019,31418518,34855483,17454605,39000000,0,6000000,8000000,0,8000000,,9000000,5000000,0,,0,,0,,,,158728606,,,,,,,,,,,,,,,,,,,,,,
05/04/2019,8472943,72010000,3791894,21000000,0,0,1000000,0,0,,29000000,5000000,0,,0,,0,,,,140274837,,,,,,,,,,,,,,,,,,,,,,
08/04/2019,18019497,34591734,12364072,15124900,5000000,0,100000,0,3000000,,21000000,5000000,0,,0,,5000000,,,,119200203,,,,,,,,,,,,,,,,,,,,,,
09/04/2019,8047218,17147573,2963954,9124900,0,0,4000000,0,0,,11000000,0,0,,0,,5000000,,,,57283645,,,,,,,,,,,,,,,,,,,,,,
10/04/2019,13987200,13000000,7597381,2000000,0,0,0,55915,3000000,,45343,0,0,,0,,8000000,,,,47685839,,,,,,,,,,,,,,,,,,,,,,
11/04/2019,13261509,9814000,19100000,5000000,0,0,2000000,1000000,1000000,,1000000,0,0,,0,,8000000,,,,60175509,,,,,,,,,,,,,,,,,,,,,,
12/04/2019,44954286,193000000,13766489,18000000,0,0,6000000,5000000,3000000,,0,5000000,0,,0,,13000000,,,,301720775,,,,,,,,,,,,,,,,,,,,,,
15/04/2019,24760568,26342464,11099881,30000000,0,3000000,2000000,2000000,3000000,,46000000,5000000,0,,0,,8000000,,,,161202913,,,,,,,,,,,,,,,,,,,,,,
16/04/2019,754095,21150200,14131363,29000000,0,0,0,8000000,0,,982000,5000000,0,,0,,0,,,,79017658,,,,,,,,,,,,,,,,,,,,,,
17/04/2019,11000000,67317094,3053869,23502421,0,3000000,2000000,1000000,0,,90199,0,0,,0,,500000,,,,111463583,,,,,,,,,,,,,,,,,,,,,,
18/04/2019,35510082,62260102,29455929,18050000,0,3000000,1000000,5000000,100000,,18000000,0,0,,0,,500000,,,,172876113,,,,,,,,,,,,,,,,,,,,,,
23/04/2019,70255934,103000000,3612293,344093,0,15000000,2000000,5000000,1000000,,46000000,2000000,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
24/04/2019,34416821,28125243,38050000,9421424,0,85000000,0,0,1000000,,25000000,2000000,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
25/04/2019,5374470,93000196,85271624,69000000,0,63000000,5000000,0,10000000,,0,0,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
26/04/2019,21233509,71414553,43801517,62000000,400,19000000,10760,0,35000000,,1000000,2000000,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
29/04/2019,107175816,42898410,20863961,37000000,0,41000000,295464,57700,29000000,,0,11000000,0,,0,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2019,1639775,13727661,20912817,22465280,0,29000000,2000000,5200000,12000000,,5000000,21295,0,,0,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2019,38248657,12458731,9637037,8080000,0,11189519,9000000,646018,5000000,,1000000,0,0,,0,,0,,,,255960739,,,,,,,,,,,,,,,,,,,,,,
03/05/2019,16549234,12171819,10840000,5400000,6000000,2000000,17000000,5000000,0,,2000000,0,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
06/05/2019,23174326,19000000,18456236,730000,5000000,3000000,6000000,1000000,0,,416600,0,0,,0,,0,,,,111966828,,,,,,,,,,,,,,,,,,,,,,
07/05/2019,23004021,25000000,12207000,1607012,1000000,952013,6000000,18000000,5000000,,3000000,72619,0,,0,,5000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
08/05/2019,27052795,6094004,10222224,6100000,0,11000000,792907,5000000,7000000,,2000000,110400,0,,0,,0,,,,95259962,,,,,,,,,,,,,,,,,,,,,,
09/05/2019,24223539,9513224,11000000,15468814,14000000,9000000,8000000,57000000,17000000,,592042,0,0,,0,,0,,,,81961053,,,,,,,,,,,,,,,,,,,,,,
10/05/2019,21045412,66721517,17786429,7009647,0,17009546,6000000,58000000,5000000,,13000000,3000000,0,,0,,10000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
13/05/2019,19000000,82078065,15903554,3511449,0,21000000,8000000,33000000,13000000,,9000000,3000000,0,,0,,24000000,,,,95842665,,,,,,,,,,,,,,,,,,,,,,
14/05/2019,11491831,16053871,15750852,12840000,0,15197200,8919904,50273454,22764000,,10840375,8000000,0,,0,,59000000,,,,75372330,,,,,,,,,,,,,,,,,,,,,,
15/05/2019,16049178,35261149,15764726,8306522,14000000,4050000,9000000,157000000,17000000,,95470,8000000,0,,0,,0,,,,189797619,,,,,,,,,,,,,,,,,,,,,,
16/05/2019,11499204,6018500,24321145,6192482,350000,4000000,66000000,31000000,62000000,,624597,5000000,0,,0,,0,,,,273572551,,,,,,,,,,,,,,,,,,,,,,
17/05/2019,9226416,19000000,21000000,6000000,0,9000000,29000000,38000000,16000000,,2000000,5000000,0,,0,,59000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
20/05/2019,172009401,4005566,18200000,564892,0,3153525,22000000,13000000,17000000,,66426,5000000,0,,0,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2019,79461098,9443911,12971900,1386126,0,4014876,50000000,332935,502149,,6000000,7000000,0,,0,,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2019,66060888,17501266,23372023,2000000,12000000,5000000,48000000,7000000,0,,5000000,7000000,0,,0,,0,,,,212211287,,,,,,,,,,,,,,,,,,,,,,
23/05/2019,53253749,26000623,28876916,13010000,13000000,17000000,37000000,7000000,0,,11000000,14000000,0,,0,,0,,,,301527045,,,,,,,,,,,,,,,,,,,,,,
24/05/2019,15868747,12184682,39881182,11365332,9000000,18000000,3000000,1000000,45128,,35000000,6000000,0,,0,,35000000,,,,229005928,,,,,,,,,,,,,,,,,,,,,,
27/05/2019,11014588,788203,7544764,200000,100000,21000000,300000,6000000,5000000,,58000000,0,0,,0,,43000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
28/05/2019,227967,9628093,5499053,5358040,259685,13000000,4000000,5000000,20000000,,12000000,3000000,0,,0,,12000000,,,,289999810,,,,,,,,,,,,,,,,,,,,,,
29/05/2019,15702870,10483236,527140,2000000,4000000,9000000,9000000,12000000,5000000,,3000000,3000000,0,,0,,0,,,,243112995,,,,,,,,,,,,,,,,,,,,,,
30/05/2019,20073245,22609159,3632233,3007159,3000000,16000000,8000000,7000000,11000000,,5000000,8000000,0,,0,,0,,,,251934177,,,,,,,,,,,,,,,,,,,,,,
31/05/2019,36792320,4723888,1287067,1114509,9000000,6000000,6000000,15000000,19000000,,10000000,5000000,0,,0,,2000000,,,,263141288,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,2208873,8812528,4253045,0,10000000,9000000,188582,5000000,7000000,,1000000,5000000,0,,0,,5000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
04/06/2019,5493447,35247917,2017152,100000000,3000000,6000000,101631,12397,792164,,3000000,0,0,,0,,5000000,,,,111947555,,,,,,,,,,,,,,,,,,,,,,
06/06/2019,6219394,17901655,1344324,6000000,20000000,410322,6000000,35400,10000000,,681440,0,0,,0,,0,,,,74513246,,,,,,,,,,,,,,,,,,,,,,
07/06/2019,11024064,60983118,401798302,24069281,49377,238700,390857,9000000,10000000,,200514,0,0,,0,,5000000,,,,112321796,,,,,,,,,,,,,,,,,,,,,,
10/06/2019,3065302,22840739,13189593,11000000,15000000,4770000,8000000,2000000,4000000,,3000000,0,0,,0,,35000000,,,,118917784,,,,,,,,,,,,,,,,,,,,,,
11/06/2019,4089497,34484719,16649841,5000000,4000000,8000000,101631,485753,2000000,,2000000,0,0,,0,,35000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
12/06/2019,1001370,26844737,19097000,400000,6000000,14000000,6691,32000000,2000000,,7000000,0,0,,0,,0,,,43624,0,,,,,,,,,,,,,,,,,,,,,,
13/06/2019,24350920,36045000,9711543,2000000,9000000,45000000,16000000,7000000,7000000,,10000000,0,0,,0,,0,,,43625,0,,,,,,,,,,,,,,,,,,,,,,
14/06/2019,23514564,25318419,4281776,18861477,5240400,48612062,6555370,7109000,25000000,,13057682,0,0,,0,,0,,,,185664708,,,,,,,,,,,,,,,,,,,,,,
17/06/2019,30031785,2723528,11274177,0,29000000,10046053,2000000,117794,37000000,,9000000,0,0,,0,,5000000,,,,0,,,,,,,,,,,,,,,,,,,,,,
18/06/2019,41477875,5407363,9366800,46378,23000000,2000000,2000000,0,20000000,,535349,0,0,,0,,0,,,,103592535,,,,,,,,,,,,,,,,,,,,,,
19/06/2019,71523218,18763000,1157407,3007858,5000000,6000000,5000000,14000000,6000000,,4000000,0,0,,0,,0,,,,552754213,,,,,,,,,,,,,,,,,,,,,,
20/06/2019,126535104,20217799,4588741,1000000,15000000,7000000,376936,452339,5000000,,6000000,0,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
21/06/2019,81718143,16921959,20511684,4010000,4000000,11000000,0,11000000,4000000,,6000000,0,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
24/06/2019,20683703,8000000,13106903,3000000,2000000,8000000,999387,15000000,10000000,,497437,0,0,,0,,0,,,,113349798,,,,,,,,,,,,,,,,,,,,,,
25/06/2019,34042210,11448423,46025627,7000000,1000000,148213,152000000,9000000,9000000,,298000000,0,0,,0,,0,,,,171107463,,,,,,,,,,,,,,,,,,,,,,
26/06/2019,24288110,23235539,27750709,124738756,5406343,0,2609084,12202315,16070904,,49582312,1000000,120950000,,0,,0,,,,177550750,,,,,,,,,,,,,,,,,,,,,,
27/06/2019,47927179,28651794,70089788,11000000,7000000,8000000,4000000,20000000,14000000,,1000000,1000000,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
28/06/2019,28036839,13854971,39539349,19100000,6000000,10000000,1000000,29000000,3000000,,300338,5185,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
01/07/2019,20043643,29084173,8084216,8000000,0,29000000,126170,16000000,10000000,,0,0,5000000,,0,,0,,,,134451483,,,,,,,,,,,,,,,,,,,,,,
02/07/2019,143580,7001466,40148371,3806029,13000000,21000000,15000000,266000000,22000000,,0,506500,0,,0,,0,,,,186170919,,,,,,,,,,,,,,,,,,,,,,
03/07/2019,22063278,11041951,20803000,9669028,6000000,9000000,0,21000000,2000000,,0,0,5928936,,0,,0,,,,159161786,,,,,,,,,,,,,,,,,,,,,,
04/07/2019,41007827,20969790,9093000,1091383,3000000,66000000,1000000,118000000,4000000,,0,0,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
05/07/2019,20004550,24462955,53000000,310969,3000000,22000000,,62000000,21000000,,,1000000,5000000,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
08/07/2019,2755736,17617642,57167386,14412454,2000000,5000000,342816,49000000,95559,,1000000,1000000,0,200000,0,,0,,,,407834072,,,,,,,,,,,,,,,,,,,,,,
09/07/2019,2197355,12656859,32678568,10100000,3000000,6000000,427469,18000000,5000000,,2000000,1000000,0,40200000,0,,0,,,,212668761,,,,,,,,,,,,,,,,,,,,,,
10/07/2019,87000000,13192410,5630958,1014700,731901,4000000,2000000,10000000,0,,50000,0,0,0,0,,0,,,,149836682,,,,,,,,,,,,,,,,,,,,,,
11/07/2019,50012776,3702000,16682215,10000000,2000000,10000000,3000000,82000000,142921,,49000000,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
12/07/2019,33258176,1211880,26103869,680382,50000,3497496,7000000,30000000,0,,5000000,0,1000000,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
15/07/2019,43002927,24128046,5216650,5163014,4000000,37902337,5000000,5000000,0,,0,0,1000000,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2019,26006666,15690697,95999999,38000000,0,98662730,8000000,44666,0,,0,0,5000000,8112356,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2019,21009798,6889125,51424743,11000000,37609,44597470,3000000,31000000,380190,,1000000,0,0,0,0,,0,,,,107506193,,,,,,,,,,,,,,,,,,,,,,
18/07/2019,38000000,3499808,13454628,16000000,10000000,33473000,3000000,21000000,1000000,,1000000,5410,5000000,0,0,,0,,,,264362000,,,,,,,,,,,,,,,,,,,,,,
19/07/2019,10000000,7936936,76101732,29710000,16000000,32498981,6000000,45000000,0,,1000000,0,50000,50000000,0,,0,,,,251978474,,,,,,,,,,,,,,,,,,,,,,
22/07/2019,4769500,16218000,5117374,9210580,6000000,28700000,0,5000000,9000000,,0,0,5000000,0,0,,0,,,,150391593,,,,,,,,,,,,,,,,,,,,,,
23/07/2019,23000000,22593978,9035262,2985893,6000000,36300779,0,45000000,9000000,,0,0,248514,344740,0,,0,,,,98060251,,,,,,,,,,,,,,,,,,,,,,
24/07/2019,14000000,27681626,4523746,12908428,0,31093245,1000000,13000000,0,,1000000,0,0,0,0,,0,,,,123619969,,,,,,,,,,,,,,,,,,,,,,
25/07/2019,8025776,22326756,12419309,9600000,0,34260163,985217,206249,35000,,141114,0,5000000,0,0,,0,,,,226539912,,,,,,,,,,,,,,,,,,,,,,
26/07/2019,2900615,27166149,52018931,8000000,2000000,7167600,0,19000000,9000000,,921610,286619,5000000,16915803,0,,0,,,,115914159,,,,,,,,,,,,,,,,,,,,,,
29/07/2019,1673739,19561027,13480691,4048474,2000000,17019803,0,22000000,18000000,,0,0,187412,1310000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2019,14945680,8247957,61081197,10645358,5000000,28443300,0,65000000,0,,49000000,12471,0,1833000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2019,51892324,7888357,94056394,10620000,59575,36974064,677768,5446720,2000000,,0,0,0,0,0,,0,,,,180412974,,,,,,,,,,,,,,,,,,,,,,
01/08/2019,8000000,9428469,81419850,4489499,3000000,229110510,17000000,20000000,2000000,,0,0,2000000,0,0,,0,,,,297749498,,,,,,,,,,,,,,,,,,,,,,
02/08/2019,43502900,5500000,64067438,1043789,777224,21200000,553560,0,5000000,,128255,0,2000000,0,0,,0,,,,170338935,,,,,,,,,,,,,,,,,,,,,,
06/08/2019,36896450,9303724,29154789,300000,78787,27490000,27797,2000000,50000,,2000000,0,0,5000000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2019,23008157,17221215,46160000,15307956,5000000,11684174,1000000,47603,331588,,5000000,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2019,69052158,26389302,8030000,12745178,79482,15369100,0,10000000,0,,0,0,10000,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2019,66092267,27299824,20597458,28686474,18100000,57893091,0,15031850,375507,,98490,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
13/08/2019,13000000,17892066,58753377,2000000,18000000,3904143,0,30000000,10000000,,226081,0,0,0,0,,0,,,,94309584,,,,,,,,,,,,,,,,,,,,,,
14/08/2019,7000499,454030,35330112,300000,571722,4737425,0,31000000,10000000,,394907,0,470517,0,0,,0,,,,135294524,,,,,,,,,,,,,,,,,,,,,,
15/08/2019,11104019,9933983,65559000,53030000,3000000,35879524,0,21000000,20000000,,4000000,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
16/08/2019,23830220,22103342,40572582,2760000,627417,21499382,2000000,149822,20000000,,0,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
19/08/2019,30000000,16723691,49143984,4000000,216117,19012797,2000000,4000000,125605,,6000000,4000,0,0,0,,0,,85000000,,294615202,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,48000000,9024098,18272461,10879887,336316,10970499,228855,0,393500,,77194,0,0,0,0,,0,,20000000,,402129681,,,,,,,,,,,,,,,,,,,,,,
21/08/2019,68177797,7351176,20585661,10527014,474938,5927720,3000000,28631,0,,68120,0,202000,0,0,,0,,0,,148773166,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,88029804,9881482,15049329,20048359,195353,9771810,3000000,8000000,0,,2000000,0,664500,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
23/08/2019,32276129,3150000,20520000,655582,530101,1319037,150000,0,200000,,177928,0,654500,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
26/08/2019,70006392,6002000,15503800,738536,147924,374368,4000000,2000000,3000000,,77356,0,0,0,0,,67000000,,0,,130760693,,,,,,,,,,,,,,,,,,,,,,
27/08/2019,613119,9324121,17662199,4761718,2000000,2719803,1000000,13000000,7000000,,144967,1000000,0,0,0,,78000000,,2170918,,143846138,,,,,,,,,,,,,,,,,,,,,,
28/08/2019,96014681,23197232,7726050,22000000,2000000,7000000,861238,12000000,13000000,,0,1000000,0,0,0,,0,,714799,,234889760,,,,,,,,,,,,,,,,,,,,,,
29/08/2019,9916939,17009936,28305245,1000000,16000000,9000000,4000000,28000000,15000000,,9000000,4000000,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
30/08/2019,57821462,16548372,19054341,17328,8000000,10000000,1000000,29000000,24000000,,3000000,33470,10000000,384378,0,,16000000,,0,,0,,,,,,,,,,,,,,,,,,,,,,
02/09/2019,11317391,8086644,19106226,2000000,14000000,10000000,0,327781,20000000,,250000,0,15000000,0,0,,14000000,,5751024,,96010236,,,,,,,,,,,,,,,,,,,,,,
03/09/2019,5046496,10962800,5461630,5397402,11000000,13294655,0,2000000,10000000,,250000,0,20000000,0,0,,6000000,,4638431,,228144957,,,,,,,,,,,,,,,,,,,,,,
04/09/2019,8023816,8345275,34030841,763016,2000000,5150484,846829,10000000,31760,,0,0,10001132,0,0,,0,,21157978,,154700743,,,,,,,,,,,,,,,,,,,,,,
05/09/2019,3113416,10433574,12123395,331637,304730,1150484,846829,5000000,4000000,,30000,0,27910456,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
06/09/2019,3031792,13552066,16000000,5000000,0,1062824,8000000,0,0,,104000,0,317910456,19275000,0,,3000000,,0,,0,,,,,,,,,,,,,,,,,,,,,,
09/09/2019,15075000,47006500,18294188,766602,920000,1314320,0,10020000,1380000,,2284629,0,137106691,2454468,0,,2000000,,0,,116343057,,,,,,,,,,,,,,,,,,,,,,
10/09/2019,21785,20214089,20029097,32000000,1000000,50000,0,0,0,,0,0,53000000,0,0,,139838,,9028375,,232669012,,,,,,,,,,,,,,,,,,,,,,
11/09/2019,35719895,26151861,15207541,33000000,333535,20904080,112972,10051357,0,,4000000,0,12000000,0,0,,0,,5894429,,143527706,,,,,,,,,,,,,,,,,,,,,,
12/09/2019,15512607,93130000,74653658,22050000,11000000,2519463,2000000,189139,0,,9630,0,12000000,0,0,,0,,0,,0,,,,,,,,,,,,,,,20.00%,20.19%,,,,,,
13/09/2019,9405017,37450697,64208581,11586832,4000000,2436829,4000000,0,2000000,,5000000,5185,4000000,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
16/09/2019,19103165,23247000,51409667,4803862,3000000,4000000,3000000,122251,2000000,,1000000,200000,24000000,1000000,0,,0,,0,,199799201,,,,,,,,,,,,,,,,,,,,,,
17/09/2019,17005201,80015559,17577371,5600000,10000000,2070000,0,1000000,0,,1000000,0,22000000,145793,0,,270647,,117519,0,155349639,,,,,,,,,,,,,,,,,,,,,,
18/09/2019,664992,53485000,24311546,20242912,15000000,0,0,31652,0,,794052,42742,11000000,0,0,,0,,6894137,0,191369110,,,,,,,,,,,,,,,,,,,,,,
